GitAuthor,ProjectName,CommitID,CommitMessage,Lsof ModifiedFiles
duxuhao,duxuhao/Feature-Selection,03536a20137d46327e16db9e12f8c312684721f9,"add correlation function
",['MLFeatureSelection/coherence_selection.py']
duxuhao,duxuhao/Feature-Selection,5b5c61092d6ce59cbe2319c5316b12a4ee35034c,"add correlation function
","['MLFeatureSelection/coherence_selection.py', 'MLFeatureSelection/importance_selection.py', 'MLFeatureSelection/sequence_selection.py']"
duxuhao,duxuhao/Feature-Selection,e18ff24efe8c4b006dbd62c8489909abef9e8727,"update readme with new function and plan
","['MLFeatureSelection/coherence_selection.py', 'MLFeatureSelection/__init__.py', 'MLFeatureSelection/importance_selection.py', 'README.md']"
duxuhao,duxuhao/Feature-Selection,4f50a0cf77f3abd8065f0554d4f431947094ce89,"update readme with new function and plan
",['README.md']
duxuhao,duxuhao/Feature-Selection,932759923c8c36051b1365e15dcb63266ab668fb,"update readme with new function and plan
","['demo_IJCAI_2018.py', 'README.md']"
duxuhao,duxuhao/Feature-Selection,37987b83d36d8f605b5ceeca88e330ad235b40f7,"alpha version for removing features by features importance
",['README.md']
duxuhao,duxuhao/Feature-Selection,3aad3e5fd3ecf29d65dcdee530a76ac32d932fc8,"fix bugs including demo selectstep and record only when score within 0 and 1
","['MLFeatureSelection/importance_selection.py', 'MLFeatureSelection/sequence_selection.py', 'README.md']"
Xuhao Du (Peter),duxuhao/Feature-Selection,2d8359208428e25342d230bb6d0e14f16b405b09,Update README.md,"['MLFeatureSelection/FeatureSelection.py', 'demo_IJCAI_2018.py']"
Xuhao Du (Peter),duxuhao/Feature-Selection,819ab167dd05f2d55c10f1efaa429659d4b6d13d,"Merge pull request #8 from Ewen2015/master

Update README",['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,48084913337564f765b3b5c0ad4072054b38c413,Merge branch 'master' into master,[]
Xuhao Du (Peter),duxuhao/Feature-Selection,6c1d5a4f3cd7ab236cc786f526646702529c2e8c,Update README.md,"['MLFeatureSelection/FeatureSelection.py', 'README.md']"
Ewen Wang,duxuhao/Feature-Selection,e64b4189eac956bbdf1d3a2cf467c47d5b746bf2,"fixed _MyRandom 

broken if any bestfeature not in columnname","['MLFeatureSelection/FeatureSelection.py', 'README.md']"
Ewen Wang,duxuhao/Feature-Selection,99fd2bfd30216b3d1baf2c95220b868393d7f098,"Merge pull request #1 from Ewen2015/Ewen2015-patch-1

revised parameter name",['MLFeatureSelection/FeatureSelection.py']
Ewen Wang,duxuhao/Feature-Selection,27dedc6258bbd9890c19b2d4551ca20fefcd6922,"revised parameter name

sf.GenerateCol(key = 'mean', selectstep = 2) #can iterate different features set",[]
Ewen Wang,duxuhao/Feature-Selection,c2c716669db6809c6b51af137b0f10b655f3541f,"reviewed a parameter name

reviewed a parameter name in function `sf.ImportLossFunction`, `select` -> `selectstep`.",['README.md']
duxuhao,duxuhao/Feature-Selection,1cefc7a7740d6800db4197802d150c1e53764e33,"update plan
",['README.md']
duxuhao,duxuhao/Feature-Selection,bb660278c9f8831be9ca2e75f988ec01c309e7d3,"update plan
","['Plan.md', 'README.md']"
duxuhao,duxuhao/Feature-Selection,6c7df56e336de2c63e5a2149f54f3cec97601052,"update plan
",['README.md']
duxuhao,duxuhao/Feature-Selection,ee6963b6ab63082584d8dc1aa8e3eef26b693b6c,"fix repeatitive
",['README.md']
duxuhao,duxuhao/Feature-Selection,1831995b243e35ad5a1f4bc4ba57254b3b11d468,"new jdata example
","['MLFeatureSelection/FeatureSelection.py', 'README.md']"
duxuhao,duxuhao/Feature-Selection,d9765ad6e3a852f9aa6e05519efefc60c16f4795,"new features added
","['example/JData2018/S2elect.py', 'example/JData2018/Select.py', 'example/JData2018/Select.py']"
duxuhao,duxuhao/Feature-Selection,96b264dc281652520bff4a2f2382b06255c69269,"disable fit_params temporary
","['MLFeatureSelection/FeatureSelection.py', 'MLFeatureSelection/__init__.py', 'README.md', 'demo_IJCAI_2018.py', 'example/JData2018/Select.py', 'example/titanic/Select.py']"
Xuhao Du (Peter),duxuhao/Feature-Selection,68c192fc829fdc84a0add36f5d10a9acc20ddb89,"Merge pull request #6 from jiaqiangbandongg/master

add SetClassifier, can set fit_params for early_stop",['MLFeatureSelection/FeatureSelection.py']
lmy,duxuhao/Feature-Selection,135e1e0a9c710ab21e25af1895f8af2109d5491f,"add SetClassifier, can set fit_params for early_stop
",[]
duxuhao,duxuhao/Feature-Selection,9219bd74d325c0c07d2ce18561b78d0ca07709ec,"fix readme
","['.gitignore', 'MLFeatureSelection/FeatureSelection.py']"
duxuhao,duxuhao/Feature-Selection,1b20e6ea133ab4622016cd0698f26d6f57b1814d,"add JD example
",['README.md']
duxuhao,duxuhao/Feature-Selection,4491a3fa9e81050b49c5b27f71af3b104d3aef12,"add more description and fix the while loop
","['example/JData2018/Select.py', 'example/JData2018/train_demo.csv', 'README.md']"
duxuhao,duxuhao/Feature-Selection,69c3eb273200d7953e30cb5def2d90753d053b99,"construct the folder
","['demo.py', 'MLFeatureSelection/FeatureSelection.py', 'README.md', 'demo.py', 'example/titanic/Select.py']"
